,Date,Bidding Session,Category,Quota,Successful Bids,Received Bids,Premium
4,2010-01,1,E,586,567,1011,19889
9,2010-01,2,E,588,579,1322,21899
14,2010-02,1,E,601,596,1069,22401
19,2010-02,2,E,590,587,1255,24229
24,2010-03,1,E,587,575,1184,27590
29,2010-03,2,E,584,554,1507,42001
34,2010-04,1,E,372,328,856,49000
39,2010-04,2,E,390,383,709,43003
44,2010-05,1,E,404,403,857,39002
49,2010-05,2,E,367,365,608,39000
54,2010-06,1,E,361,322,639,41000
59,2010-06,2,E,362,359,682,41006
64,2010-07,1,E,399,399,660,41010
69,2010-07,2,E,363,357,725,43565
74,2010-08,1,E,309,308,594,42901
79,2010-08,2,E,315,315,583,43501
84,2010-09,1,E,310,308,460,44001
89,2010-09,2,E,309,307,520,43290
94,2010-10,1,E,311,304,518,44090
99,2010-10,2,E,311,287,455,44900
104,2010-11,1,E,316,312,497,46001
109,2010-11,2,E,333,332,634,49890
114,2010-12,1,E,313,313,674,64900
119,2010-12,2,E,311,302,463,76102
124,2011-01,1,E,309,305,475,75789
129,2011-01,2,E,319,312,433,67009
134,2011-02,1,E,333,326,648,58890
139,2011-02,2,E,336,335,558,62001
144,2011-03,1,E,336,324,574,62010
149,2011-03,2,E,330,330,458,59073
154,2011-04,1,E,341,340,454,57100
159,2011-04,2,E,330,329,484,56001
164,2011-05,1,E,330,321,498,56490
169,2011-05,2,E,331,322,470,56889
174,2011-06,1,E,338,295,530,62000
179,2011-06,2,E,339,334,468,65490
184,2011-07,1,E,372,342,509,68811
189,2011-07,2,E,335,328,459,74490
194,2011-08,1,E,360,360,488,70117
199,2011-08,2,E,337,335,516,67000
204,2011-09,1,E,330,329,466,65589
209,2011-09,2,E,332,332,449,62502
214,2011-10,1,E,331,331,452,65058
219,2011-10,2,E,330,306,518,73600
224,2011-11,1,E,330,311,507,78001
229,2011-11,2,E,355,352,496,75889
234,2011-12,1,E,349,335,489,74340
239,2011-12,2,E,334,285,521,71000
244,2012-01,1,E,344,341,530,65700
249,2012-01,2,E,380,375,538,67101
254,2012-02,1,E,312,312,425,73801
259,2012-02,2,E,314,296,507,78000
264,2012-03,1,E,309,309,492,76881
269,2012-03,2,E,327,327,449,80101
274,2012-04,1,E,309,307,413,84590
279,2012-04,2,E,308,295,447,92010
284,2012-05,1,E,311,304,457,88990
289,2012-05,2,E,321,312,544,86889
294,2012-06,1,E,315,311,526,85889
299,2012-06,2,E,317,315,427,84389
304,2012-07,1,E,312,295,410,86999
309,2012-07,2,E,310,306,429,92700
314,2012-08,1,E,260,258,354,95034
319,2012-08,2,E,247,238,301,93990
324,2012-09,1,E,245,245,349,87999
329,2012-09,2,E,252,245,421,89990
334,2012-10,1,E,243,242,312,86889
339,2012-10,2,E,249,233,371,87000
344,2012-11,1,E,244,241,401,92100
349,2012-11,2,E,258,250,352,93990
354,2012-12,1,E,246,233,329,97000
359,2012-12,2,E,250,241,406,95990
364,2013-01,1,E,256,256,393,96101
